ad_archive_id,ad_text,lda_topic_keywords,bert_topic_keywords,llm_theme_theme,llm_theme_summ,lda_keywords_llm_truth,bert_keywords_llm_truth,llm_theme_llm_truth,llm_summ_llm_truth,lda_keywords_human_truth,bert_keywords_human_truth,llm_theme_human_truth,llm_summ_human_truth
3802394379977166,"Nature connects me with my family. We deliberately chose to raise our family in this area because of all of the ways we can connect with nature. As your representative, I will fight to defend our spectacular landscapes and work with you to protect the beauty in our valley and state.","protect, conservation, environment, tree, nature",,"**""Clean water advocacy""**",Pro-forest climate action,Yes,Yes,No,Yes,TRUE,FALSE,TRUE,TRUE
699655566404433,"We 💙 summers in Illinois. While July may be nearing its end, there are some exciting events coming up where you can make the most of this month:","national, week, bold, july, http","favorite, excited welcome, spring, season, time year, greenery, project sites, tulip, state best, hoosier state","**""Local civic engagement""**",Local civic engagement,No,No,No,No,TRUE,FALSE,TRUE,FALSE
23921143654206673,"Did you know that $1 BILLION in tax cuts was given to corporations, including ExxonMobil, in Harris County, instead of the working Texans who need it. Sign the petition, and share how Harris County can better,Did you know that $1 BILLION in tax cuts was given to corporations, including ExxonMobil, in Harris County, instead of the working Texans who need it. Sign the petition, and share how Harris County can better","work, need, working, people, better",,"**""Energy cost alarm""**",Energy cost alarm,Yes,No,No,No,TRUE,FALSE,TRUE,FALSE
1184813135920746,"Whether you’ve been considering solar panels, harnessing the power of the wind, upgrading to energy-efficient equipment, or even delving into the realm of biofuels, there’s an exciting opportunity that may be able to help fund your project: the Rural Energy for America Program. Contact us through the link below to learn more! 
https://www.deschutesswcd.org/reap-grant-funding/

#centraloregon #deschutes #deschutescounty #RenewableEnergy #CleanEnergy","program, wind, provide, grant, farming","illinois, energy illinois, edpr, edpr na, na projects, na, energy projects, hardware stores, economic boost, construction maintenance","**""Clean energy advocacy""**",Clean energy advocacy,Yes,No,Yes,Yes,TRUE,TRUE,TRUE,TRUE
1021592706157491,"Data can’t tell the whole story, but it’s a powerful tool for understanding changes on our planet. Grab this article from our free collection of resources to teach your students essential data literacy skills.,Data can’t tell the whole story, but it’s a powerful tool for understanding changes on our planet. Grab this article from our free collection of resources to teach your students essential data literacy skills.","free, call, tool, generation, receive","students, teaching, teaching climate, climate education, classroom, climate project, teach, educators, lesson, prep","**""Climate education advocacy""**",Climate education advocacy,Yes,No,No,Yes,FALSE,FALSE,TRUE,FALSE
1484187702302772,"Vote for Lance Boehmer in the August 6th Primary! Support a candidate focused on affordable housing, mental health services, and environmental protection.

✅ Ensure responsible and transparent governance for Grand Traverse County. Learn more at the link below.","sustainable, initiative, committed, community, resource","city council, council, city, mayor, ward, alderman, berwyn, public safety, mclean, mclean county","**""Pro-climate candidate""**",Pro-childcare candidates,Yes,Yes,Yes,No,FALSE,FALSE,TRUE,FALSE
1235024824363592,"See how YOU can play a part in the next generation of clean energy and explore a career in nuclear energy.  

Learn more about University Of Michigan’s Nuclear Engineering & Radiation Sciences.","next, share, live, career, whether","nuclear, nuclear energy, nuclear power, career nuclear, career, nuclear industry, reactors, clean reliable, nuclearenergy, nuclear plant","**""Pro-nuclear advocacy""**",Pro-nuclear advocacy,No,No,Yes,Yes,TRUE,FALSE,TRUE,FALSE
506532902376534,"Gracias al Plan de Energía Limpia, más de 334.000 nuevos empleos en energía limpia están ayudando a revitalizar comunidades en todo Estados Unidos.
Muchos de estos empleos se encuentran en comunidades de escasos recursos, lo que brinda oportunidades laborales bien remuneradas que permiten a los trabajadores desarrollar carreras duraderas, apoyar a sus familias y ayudar a que sus comunidades estén más limpias y seguras.","harris, para, minnesota, kamala, record","energía, para, en, el, que, la, es, más, por, su","**""Pro-clean energy jobs""**",Clean energy boom,No,No,Yes,Yes,TRUE,FALSE,TRUE,FALSE
1499760767871767,"Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.","florida, storage, battery, island, long",,"**""Solar emergency power""**",Clean energy advocacy,No,No,Yes,Yes,FALSE,FALSE,TRUE,TRUE
1709286292995224,President Jimmy Carter had a solar array placed on @[100069123883596:2048:The White House] to show his administration’s support for clean energy. The solar panels helped heat water for the complex but were removed by the Reagan Admin. Carter also started the @[100068384958383:2048:U.S. Department of Energy] during his tenure in office.,"one, people, thing, get, u",,"**""Solar energy advocacy""**",Solar energy advocacy,No,Yes,Yes,Yes,FALSE,TRUE,TRUE,TRUE
646008841516315,"Plastics contain thousands of toxic chemicals — like BPA, PFAS, phthalates, flame retardants, and heavy metals. Those chemicals move out of plastics and into our air, our bodies, our soil, and our food. Making plastic releases air pollution. We have a plastics crisis. And a health crisis. #BeyondPetrochemicals #plastic #microplastics #planetvsplastics #plastics #plasticpollution #mcaf","plastic, bringing, turn, favorite, decade","plastic, plastics, microplastics, plastic pollution, plastic free, bags, single use, packaging, plasticfreejuly, free july","**""Pro-recycling advocacy""**",Pro-recycling advocacy,Yes,Yes,No,No,FALSE,FALSE,FALSE,TRUE
1716593822238356,"Disinformation in Spanish spreads faster, is less scrutinized, and is more effective than misleading posts in English. This poses a grave danger to the Latino community, who are more likely to use social media in Spanish. Learn how you can protect yourself and your family from it at hotandtoxic.com/disinformation.","community, hear, training, youth, town",,"**""Local civic engagement""**",Local civic engagement,No,Yes,No,No,FALSE,TRUE,TRUE,TRUE
1375545883896167,Trump just fired the scientists protecting our future. Sign to save climate research and keep Americans safe.,"safe, drive, storm, keep, ensure",,"**""Pro-climate candidate""**",Methane regulation push,No,Yes,No,No,FALSE,FALSE,FALSE,FALSE
901172721818191,"Calling all @[100064813625917:2048:California 4-H]-ers from 11-19: there is still time to register to the annual California 4-H State Leadership Conference to explore @[100064926782595:2048:UC Davis] campus life, participate in challenging workshops, hear exciting speakers, network with STEM professionals, and hone their leadership skills. There are two program tracks, one designed for middle/junior high schoolers and the other for high schoolers. Parents and loved ones, they are also taking applications for chaperones.

Find more info here:
https://na.eventscloud.com/website/55587/slchome","one, people, thing, get, u",,"**""Climate education advocacy""**",Agriculture policy updates,No,Yes,No,No,FALSE,FALSE,TRUE,TRUE
499146559787759,"We are excited to work with more faith communities to install solar power in their facilities. This is a great opportunity to lower energy bills and make more funds available for ministry, address climate change and care for our sacred creation.","sustainable, initiative, committed, community, resource",,"**""Pro-solar advocacy""**",Solar energy advocacy,Yes,Yes,Yes,Yes,FALSE,FALSE,TRUE,TRUE
1717465149009688,"Ex-Wall Street Insider: ""Make this one move to profit from the presidential election.""","find, look, georgia, like, little",,"**""Energy cost alarm""**",Anti-Harris energy attack,No,Yes,No,No,TRUE,TRUE,FALSE,FALSE
435031352330276,"Behind the scenes recording:
""What Does Justice Look Like?""
by Waziyatawin, Ph.D.

Support your local bookstores by signing up and listening at:
https://libro.fm/audiobooks/9781937141387-what-does-justice-look-like?fbclid=IwY2xjawEzFn1leHRuA2FlbQIxMAABHSr_zh4AxjdVhFX03frnufeSAOljjZ500mKA_ZJDZOwl_QHYlWdLJvw1rQ_aem_1KDa4XbJiKBxgZOlpk_o1Q

 #LandBack  #colonialism  #audiobook #justice  #dakota  #truthtelling #Climateaction #coexist #hope #decolonize","community, hear, training, youth, town",,"**""Climate crisis advocacy""**",Methane regulation push,No,Yes,No,No,FALSE,TRUE,TRUE,TRUE
542121711976733,Are big corporations owning up to the pollution they create? 🤔,"carolina, south, coming, corporation, article",,"**""Big Oil accountability""**",Sustainable farming progress,No,Yes,No,No,TRUE,TRUE,FALSE,FALSE
982041270563583,"New analysis in Insurance Journal explores how climate change and outdated flood maps are driving an insurance protection gap in the US. 

Discover how 7Analytics is addressing this challenge with property-level flood risk assessment, enabling private insurers to offer coverage in areas previously deemed too risky. 

7Analytics’ AI-driven models provide the granular data needed to accurately assess and price flood risk, helping close America's growing insurance protection gap.","climate, change, action, crisis, weather","insurance, insurance rates, insurance companies, insurers, rising insurance, insurance costs, homeowners insurance, premiums, ceos, florida house","**""Climate crisis advocacy""**",Clean air advocacy,Yes,Yes,No,No,FALSE,FALSE,FALSE,FALSE
1045466150521445,Greenpeace needs your support! Click LEARN MORE ☝️ to SIGN THE OPEN LETTER NOW and join their fight against Energy Transfer's baseless legal action.,"energy, clean, power, support, job","greenpeace, nih, wcw, trial, minocqua, federal court, energy transfer, case, legal, warren","**""Big Oil accountability""**",Big Oil accountability,No,No,Yes,Yes,FALSE,FALSE,TRUE,TRUE
603940135426270,Will Virginia have more say over solar laws in 2025?,"solar, energy, state, program, power","virginia, virginia tech, va, roanoke, localities, virginia va, survey wind, jefferson county, house delegates, charlottesville","**""Solar energy advocacy""**",Pro-solar advocacy,Yes,No,No,Yes,TRUE,FALSE,TRUE,FALSE
1775292256607996,"You're invited to the 2024 Nova Annual Conference, ""New Horizons: Toward an Era of Global Flourishing,"" on December 5, 2024. This free, virtual event will explore innovative approaches to advancing well-being for both people and the planet.

As the source of all life, energy takes center stage. This includes the cellular energy fueling personal health, the sustainable energy systems required for flourishing societies, and the transformative energy of human consciousness necessary for global change.

By exploring pressing, interconnected themes affecting physical, mental, and emotional well-being, this event aims to contribute to innovative responses and actionable strategies that foster a more equitable, healthy, and resilient society for all, with deeper connection and care for the natural environments on which we depend.

Register for free via link in bio.

#PlanetaryHealth #GlobalChange #MentalHealth #HealthAndWellBeing","solution, science, innovative, approach, challenge",,"**""Pro-clean energy""**",Solar energy advocacy,Yes,Yes,No,No,TRUE,TRUE,FALSE,TRUE
824467686335720,"It’s been an exciting summer in the Fort Wayne area for our EDPR NA team! We’ve had an incredible time out and about meeting new community members and catching up with our network of amazing supporters. This July, we participated in and served as a skill hole sponsor for the @[100064349573270:2048:Greater Fort Wayne Inc.] Greater Golf Open. Earlier this month, our team hosted a lively stakeholder dinner at  @[100040276075255:2048:Club Soda], where we shared project updates and opportunities to support Allen County’s renewable energy future.","would, state, said, public, also","na team, edpr na, edpr, na, ffa, flyer, team, white county, randolph county, randolph","**""Pro-infrastructure investment""**",Farmland renewables boost,No,Yes,Yes,No,FALSE,FALSE,FALSE,FALSE
1168207718318763,"Want to do something about climate change, but don’t know where to start? Inside the Movement shows you how. Join today. Go to ITM.earth.","one, people, thing, get, u","common myths, article explore, say climate, conspiracies, experts say, change real, later late, myths, climate alarmism, alarmism","**""Climate voter mobilization""**",Climate voter mobilization,Yes,No,No,No,FALSE,FALSE,TRUE,FALSE
503479475787092,"Thanks to the Inflation Reduction Act, Georgia is leading the country in renewable energy production, helping farmers streamline agricultural practices, and lowering healthcare costs for low income residents.

Georgia now ranks second nationally on new green tech projects, with over 20 new projects and over 30,000 jobs created since the IRA’s passing. The bill has spurred $23.88 million for Georgia’s clean energy economy, with the greatest investments coming to solidly red parts of the state, like the 11th Congressional District. 

In rural communities, the Inflation Reduction Act has helped farmers to adopt sustainable, efficient methods and is providing affordable electricity through local electric cooperatives.

Learn more at https://www.newdealforum.org/federal-funds-local-results","solar, energy, state, program, power","georgia, psc, georgia public, service commission, largest animal, solar north, carolina residents, georgia power, energy funds, commission psc","**""Clean energy advocacy""**",Pro-infrastructure investment,Yes,Yes,No,Yes,FALSE,FALSE,TRUE,TRUE
1178144827219206,"EarthRM is heading to South by Southwest 2025! We are honored to present at the Climate & Sustainability Panel Session on March 13, 2025, in Austin, Texas with our panel, ""Age-Old Technologies for New-Age Disasters.""

Join us as we share our place based approach to  bioremediation—using plants, fungi, and Indigenous microbes—to heal lands and waters impacted by pollution in Hawai'i.

Panel Presentation Information: https://schedule.sxsw.com/2025/events/PP153135 

#PresenterSXSW #SXSW #EarthRM #Bioremediation #NativeKnowledge #IkeKanaka #Oceania #PlaceBasedScience","fair, another, reality, may, lost","climate correction, correction, workshops, volofoundation, 2025 orlando, free workshops, https volofoundation, org climate, day climate, volofoundation org","**""Pro-nuclear advocacy""**",Hydrogen as solution,No,Yes,No,No,FALSE,FALSE,TRUE,TRUE
1061164475211174,"Dan Wolgamott has worked to protect the air we breathe, the water we drink, and the health of our communities.,Dan Wolgamott has worked to protect the air we breathe, the water we drink, and the health of our communities.","air, plant, pollution, coal, portland","air, air quality, air pollution, breathe, lungs, smog, clean air, lung, quality, breathing","**""Clean water advocacy""**",Clean water advocacy,Yes,No,No,Yes,FALSE,TRUE,TRUE,FALSE
678176325296852,"Gladys from Zambia runs Plastic for Change, a plastic recycling facility, and has brought a plastic recycling project targeting marginalized groups especially women at the DRC-Zambia border. The project builds a digital platform to offer fair pay to plastic waste collectors, restoring their dignity. She expects more youth to join sustainable development decision-making with support, funding and capacity-building, aiming to reach Sustainable Development Goals together. Her project has been selected for APGYD.
#GDI #APGYD #WYDF #Youth2030 #SDGs","future, sustainable, together, let, build",,"**""Pro-recycling advocacy""**",Pro-recycling advocacy,Yes,No,Yes,Yes,FALSE,FALSE,FALSE,FALSE
501756681282757,Join our Discord to learn more about how our NFT is driving REAL change for the planet 🌎 🌱,"climate, change, action, crisis, weather",,"**""Solar energy advocacy""**",Solar energy advocacy,Yes,No,No,No,FALSE,FALSE,FALSE,FALSE
1936828190098350,"Lead the climate-resilient economy of tomorrow with GARP’s Sustainability and Climate Risk (SCR®) Certificate. 🏆🌳,Lead the climate-resilient economy of tomorrow with GARP’s Sustainability and Climate Risk (SCR®) Certificate. 🏆🌳","climate, change, action, crisis, weather",,"**""Climate education advocacy""**",Women-led climate action,Yes,No,Yes,No,FALSE,FALSE,FALSE,TRUE
1197310391833538,"Dive into the first episode of #TheSurfriderPodcast 🎙️🌊

Hosted by David Lee Scales, a world-renowned surf culture podcast host and producer, our new episode sheds light on the Most Polluted Beach in America, with voices from Mayor of Imperial Beach Paloma Aguirre, Dr. Kimberly Dixon of South Bay Urgent Care, and our very own Clean Border Water Now Campaign Manager Sarah Davidson. 

Watch the full episode episode now to learn more about why this incredible stretch of coastline has been closed for over 1,200 consecutive days and counting, the health impacts on the local communities, and how you can get involved to fight for clean water at the border. 

Available on all major podcast platforms. Link in bio to start listening!","discover, open, top, still, priority","water, river, rivers, drains, storm, stormwater, wastewater, clean water, storm drains, lake","**""Clean water advocacy""**",Clean water advocacy,Yes,No,Yes,Yes,FALSE,FALSE,FALSE,TRUE
554178727096167,"🌱 Agroforestry: A Sustainable Farming Solution 🌳

Agroforestry combines trees with crops or livestock, creating a powerful way to boost farm productivity while protecting the environment. 🌿

🌳 Soil Health: Trees help reduce soil erosion, improve water retention, and maintain soil fertility. 
💧 Environmental Impact: Agroforestry reduces greenhouse gas emissions and nutrient loss, enhancing biodiversity. 
📈 Economic Benefits: In regions like Western Uttar Pradesh, farmers are seeing a benefit-cost ratio of up to 3:1 through systems that integrate trees like neem and eucalyptus.

Agroforestry is paving the way for more sustainable and profitable farming! 🌍","protect, conservation, environment, tree, nature","dairy, food, soil, milk, meat, agriculture, soil health, farming, cocoa, regenerative","**""Sustainable farming progress""**",Sustainable farming progress,Yes,Yes,Yes,Yes,TRUE,FALSE,FALSE,TRUE
545679954501757,"TNC is standing up to plastic pollution. Oceans produce half of our air, but they are suffocating - 11 million tons of plastic enter the ocean every year. World leaders need to act. Right now, the United Nations is working to adopt the first-ever international, legally binding agreement to end plastic pollution. Join us as we call on world leaders to unite against plastic pollution. Take the pledge with us at nature.org/plasticpledge. 

📸: Sebnem Coskun/TNC Photo Contest 2021","plastic, bringing, turn, favorite, decade","plastic, plastics, microplastics, plastic pollution, plastic free, bags, single use, packaging, plasticfreejuly, free july","**""Ocean conservation call""**",Pro-nuclear advocacy,No,Yes,Yes,No,FALSE,FALSE,TRUE,FALSE
3231397387156482,"⚠️𝐔𝐑𝐆𝐄𝐍𝐓: The Amazon rainforest may hit an irreversible tipping point in just a few years if deforestation continues.

There is no more time to waste.

We’re working with local governments and communities to protect the Amazon, but this work is only possible through the support of generous people like you. So please: 𝐀𝐝𝐝 𝐲𝐨𝐮𝐫 𝐧𝐚𝐦𝐞 𝐭𝐨 𝐬𝐡𝐨𝐰 𝐲𝐨𝐮𝐫 𝐬𝐮𝐩𝐩𝐨𝐫𝐭 𝐟𝐨𝐫 𝐩𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐧𝐠 𝐭𝐡𝐞 𝐀𝐦𝐚𝐳𝐨𝐧 𝐫𝐚𝐢𝐧𝐟𝐨𝐫𝐞𝐬𝐭.","work, need, working, people, better","extinction, species, wildlife, petaluma, habitat, endangered, poaching, endangered species, animals, conservation","**""Pro-forest climate action""**",Pro-forest climate action,Yes,Yes,Yes,Yes,FALSE,FALSE,FALSE,FALSE
2330310607332021,"🌍 What are we leaving behind for future generations?

Pollution isn’t someone else’s problem - it’s all of ours. But so is the solution 💚 

We believe that bold choices today lead to a better tomorrow. Choose better. Choose sustainability!","future, sustainable, together, let, build","sustainability, 2024 sustainability, tüv, targets, credibility, establishment new, responsibility strategic, highlights report, targets achievements, bring sustainability","**""Clean energy advocacy""**",Pro-recycling advocacy,No,No,No,No,FALSE,TRUE,TRUE,TRUE
563965249511701,"Be bold! Be a peacemaker and talk climate!

Sign up today to receive tips and resources on how to have these conversations. There will also be a virtual workshop on practicing these skills that you will not want to miss!,Be bold! Be a peacemaker and talk climate!

Sign up today to receive tips and resources on how to have these conversations. There will also be a virtual workshop on practicing these skills that you will not want to miss!","event, join, register, http, conversation",,"**""Climate education advocacy""**",Climate education advocacy,Yes,Yes,Yes,Yes,FALSE,FALSE,TRUE,FALSE
2041884252977223,"The Fox Valley Park District has excellent facilities and staff. In this election I am supporting Edward Ash who is running for the At-Large position and Sandi Schmitt for the District 1 position (the areas west of the Fox River, including parts of Sugar Grove and North Aurora.

Edward Ash (Fox Valley Park District, At-Large), is a skilled tradesman working in the community for positive change and equality for all. Ed’s goal is to increase education, share new project ideas, and bring more awareness and community engagement to our Park Districts. Edward volunteers for several nonprofits in Aurora.

Sandi Schmitt (Fox Valley Park District - 1), is a dedicated leader with 20 years of project management and training experience in a global consulting firm. As a community advocate, she champions green space preservation, fiscal transparency, and collaboration with other districts. Sandi’s fresh ideas and budget-conscious approach will bring new energy to the Park District.

Early Voting polling places – https://bit.ly/EVPolling 

Election Day polling places –  https://bit.ly/EDPolling","vote, election, district, candidate, voting",,"**""Local civic engagement""**",Local civic engagement,Yes,Yes,Yes,Yes,FALSE,FALSE,TRUE,FALSE
2463337317365993,Are you in?,"state, governor, strong, united, continue",,"**""Climate voter mobilization""**",Climate voter mobilization,No,No,No,No,FALSE,FALSE,TRUE,TRUE
1234170344484747,"What if plant-based meats could heal the planet? 🌍 Biochemist and “wacky genius” Pat Brown left academia to create the Impossible Burger, a revolutionary plant-based meat that tackles climate change and biodiversity loss. 🌱🍔

Now he’s onto his latest “wild idea”... he’s transforming cattle ranches into carbon-capturing forests that promote biodiversity and restore our earth. 🌳🌿🌎

Today marks the global release of this very special episode. 🎬 “WILD HOPE: Mission Impossible” is now on the PBS Nature Channel on YouTube. 📺

Visit WildHope.tv to watch, engage, and discover ways you can take positive action in your own backyard. 🏡

Pat Brown is an inspiring example of how one person’s curiosity and desire to protect the planet can lead to “impossibly” exciting results. ✨💚","protect, conservation, environment, tree, nature","dairy, food, soil, milk, meat, agriculture, soil health, farming, cocoa, regenerative","**""Sustainable farming progress""**",Sustainable farming progress,Yes,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE
653178217112498,Utah families are being charged for lawmakers’ fossil fuel favoritism. Contact your legislator today before it’s too late!,"tax, energy, bill, credit, cost","utah, investinginamerica, iija, act utah, projects utah, inflation reduction, reduction act, utah clean, house republicans, powering progress","**""Energy cost alarm""**",Energy cost alarm,Yes,No,Yes,Yes,FALSE,FALSE,FALSE,FALSE
