cluster,topk_rank,ad_archive_id,probability,page_name,ad_creative_bodies
2,1,508744358278250,1.0,Powering Up Wyoming,"Wyoming must remain competitive and provide reliability to industries that are looking to create jobs and revenue that lift up our economy. We have an opportunity to create resilient communities, keep the University of Wyoming, Wyo Tech and community college graduating students in local jobs, and remain an energy leader and innovator. 

Watch more: https://www.youtube.com/watch?v=MfdtBlNFH4k"
2,2,1492615708379519,1.0,I Make America,"Access to broadband in rural areas is critical for farmers and ranchers to not only stay connected, but also utilize the latest technologies that build a sustainable future. Write to your lawmakers and tell them to support rural broadband projects today: https://hub.imakeamerica.com/campaign/55089/"
2,3,512567204647514,1.0,Interstate 11 Coalition,"From tourism to mental health to construction, federal investments are transforming Wyoming!🌟

Thank you to our incredible federal leadership for investing in our state's bright future.🏞️🏥🏗️

Let's continue building a stronger, more sustainable Wyoming! #sustainableinfrastructure #InvestInWY🚀"
2,4,845120094297520,1.0,Interstate 11 Coalition,"Alabama's future is bright thanks to federal infrastructure funds! 🌟 From roads and bridges to schools and hospitals, these investments are transforming our communities. Bills like the Inflation Reduction Act create clean energy jobs and drive economic growth, building a prosperous Alabama! 🚧🏫🏥 #AlabamaGrowth #Infrastructure #CommunityLeaders"
2,5,1721661115236053,1.0,Interstate 11 Coalition,"Wyoming is gearing up for a brighter future with federal investments! 🌟 Gov. Mark Gordon has launched a new program empowering local governments, nonprofits, and small businesses to secure vital federal funding for community projects. 💼🚀 The new office connects Wyoming communities to 300+ funding opportunities from the Bipartisan Infrastructure Law, Inflation Reduction Act, and CHIPS and Science Act. These investments are set to drive sustainable infrastructure and long-term prosperity across the state. 💰📊 #FederalImpact #BuildingOurFuture"
3,1,1435449934391449,1.0,Bloomberg,"Copper has become the world’s third most consumed metal, but uncertain demand levels and supply constraints have created a volatile outlook. Presented by CME Group"
3,2,522106407379831,1.0,Better In Our Back Yard,"A recent survey by the Tucson Metro Chamber reveals that 72 percent of Arizonans support copper mining in the Copper State, highlighting widespread recognition of copper’s vital role in modern life. As a key component in renewable energy technologies, electric vehicles, and everyday electronics, copper is integral to the transition toward a more sustainable future. 

Accounting for 74 percent of the nations' copper, Arizona holds a strategic position in ensuring domestic copper production, which is crucial for reducing dependence on foreign imports. This not only bolsters economic security but also strengthens the nation’s supply chain resilience, particularly in industries that are critical to U.S. infrastructure and national security.

@[100063470513933:2048:Resolution Copper], one of the most significant undeveloped copper projects in the country, has the potential to be a major contributor to meeting rising U.S. copper demand. Once operational, it could supply an astounding 25 percent of the country’s copper needs, making a substantial impact on domestic production. 

By tapping into Arizona’s rich copper reserves, Resolution Copper will help the U.S. achieve greater self-sufficiency in this essential metal, supporting the growth of emerging technologies and furthering national goals in clean energy, transportation, and defense innovation.

To learn more about Resolution Copper, please visit the link below:
https://resolutioncopper.com/project-overview/

Referenced source:
https://azbigmedia.com/business/survey-reveals-strong-public-support-for-copper-mining-and-mining-education/#:~:text=The%20poll%2C%20conducted%20in%20late,support%2C%2037%25%20oppose).&text=%E2%80%9CThe%20public's%20greater%20support%20for,our%20nation's%20renewable%20energy%20goals.%E2%80%9D"
3,3,2296736947373356,1.0,Better In Our Back Yard,"Operating for over 120 years, the Kennecott Mine is the second-largest copper producer in the United States and supplies domestically sourced copper, gold, silver, molybdenum, and tellurium both nationally and internationally. 

The mine is located in the Oquirrh Mountains near Salt Lake City, Utah, and is operated by Rio Tinto. Mining activities began in 1903, making it one of the oldest continuously operating mines in the U.S. and the world's deepest open-pit mine. To date, Kennecott has produced over 19 million tons of copper, along with substantial amounts of other valuable metals. 

At its peak, the mine employed thousands and continues to provide around 2,400 jobs, bolstering the local economy through direct employment and support of associated industries.

The 19 million tons of copper produced is enough to supplement over 4 million 3 MW wind turbines. To put it in perspective, it’s estimated that the U.S. currently has 90,000 wind turbines operating today.

Copper from Kennecott is vital to daily life, playing an essential role in electrical wiring, plumbing, and infrastructure. Its superior conductivity makes it indispensable in electronic devices like smartphones, computers, and home appliances. Beyond that, copper is crucial to the renewable energy sector, as it is used extensively in wind turbines, solar panels, and electric vehicles, making it integral to the shift towards a more sustainable energy future. 

To learn more about Kennecott, please visit Rio Tinto’s Website via the link below:
https://lnkd.in/eF4vKZSh"
3,4,1897519570738368,1.0,AK Headlamp,"The Estelle Gold Project in Alaska positions it as North America's next major gold and critical minerals district with the ability to leverage both the emerging gold and antimony bull markets.

Along with a global 9.9-million-ounce gold resource, Nova has also discovered significant deposits of stibnite (antimony) at multiple locations across its claims."
3,5,988044783528116,1.0,Iron Mining Association of Minnesota,"Mining in Minnesota is more than tradition—it’s a cutting-edge STEM career that shapes the future. While the work often happens behind the scenes, the results are all around us in the products we use every day. 

Take a closer look at the innovation driving iron mining with insights from Mike Bakk, Director of Operational Readiness at U.S. Steel’s Keetac mine."
4,1,1801335737109559,1.0,Ohio Propane Gas Association,"Over 410,000 residences in Ohio use propane to fuel their daily lives. Propane is a greener fuel compared to electricity, wood, or fuel oil, helping to reduce Ohio’s residential air pollution while ensuring reliable heat during the winter. LEARN MORE: https://bit.ly/4cJ81mO #OPGA #Propane #CleanEnergy"
4,2,1493914235307060,1.0,Ohio Propane Gas Association,"An OPGA report on standard propane and renewable propane was featured in front of nearly 900 environmentalists, municipal leaders, and corporate leaders. The attendees at the Green Unbrella conference in Cincinnati were very interested and supportive of propane's clean role in heating homes and fueling fleet vehicles. Learn more about the OPGA Environmental Campaign: https://bit.ly/3XQmlTR"
4,3,687286333749645,1.0,Minnesota Propane Association,Find the perfect propane solution for your home with help from the experts at the Minnesota Propane Association.
4,4,1676564939939129,1.0,Ohio Propane Gas Association,"Clean and renewable energy like propane accelerates decarbonization in Ohio. LEARN MORE: https://bit.ly/3GQispR
#OPGA #Propane #CleanFuel"
4,5,529812916469748,1.0,Ohio Propane Gas Association,"Propane: A Solution to Reach Dayton’s Climate Goals; LEARN THE FACTS: https://bit.ly/4echov4
#OPGA #Propane #CleanFuel"
5,1,1504096491022379,1.0,Nuclear Matters,"Nuclear energy doesn’t just power our homes—it’s energizing safer, cleaner and stronger communities for friends and families like yours.  

Whether you're exploring a nuclear engineering degree, a hands-on trade program or leveling up your career, you can find an opportunity in a growing industry that makes a real difference."
5,2,1053186520230747,1.0,WePlanet America,"Nuclear power is safer, cleaner, and more reliable than wind and solar. If we want to fight climate change, we need an energy change.,New Jersey deserves a climate-neutral future. If we want to protect our planet while meeting our energy needs, we need nuclear.,What is the cleanest, safest, and most reliable energy to combat climate change? That’s right — it’s nuclear.,Nuclear energy is our best option to protect our climate while powering New Jersey. Stand up against climate change- stand for nuclear!,We are in the middle of a climate emergency. If we want to tackle climate change, we need to use more clean energy. We need nuclear."
5,3,572491042040131,1.0,The Nunn Report US,Unlocking Nuclear Power: Could We Really Go Carbon-Free?
5,4,988088826734592,1.0,Nuclear Matters,"🎓 Just graduated? Join an industry that serves a greater purpose! 

In the nuclear industry, your work drives real clean energy solutions and strengthens your community with reliable power. 

And because of data centers coming to your state, opportunities in nuclear energy are closer than you think."
5,5,1223081689398356,1.0,Nuclear Matters,"#DYK nuclear power does more than cut carbon, it protects the land that we love for generations to come. 
But building a sustainable future takes all kinds of talent. 

No matter your background, there’s a place for you in the nuclear industry, where every role plays a part in conserving your land and powering your community. This Earth Day find your place in nuclear energy. 🌍"
6,1,1545446716869828,1.0,Natural Resources Council of Maine,"Meet John and Erma Evans, residents of a small rural town in Maine who have embraced clean energy solutions in their home. Over 20 years they developed a vision for building their dream home powered by the sun and innovative clean energy technologies.
 
The Evanses have embraced electric cars because they are practical, cheaper to fuel and maintain, and help reduce pollution. They live at the top of a very steep dirt road and have found that their electric car and truck can get the job done, lugging, tugging, or just getting around town. A rooftop solar system powers their electric vehicles, which are then able to provide them with backup power if it's ever needed while still being able to travel everywhere they need to get, including across the country.
 
Your EV is more than just a car. It's actually a battery on wheels with the power to support the whole energy system!
 
⚡EV batteries can store a huge amount of energy, even enough to power your home for days.
🌙 Charging overnight when demand is low helps to flatten peak electricity demand and reduce stress on the electric grid. That means that there are fewer costly upgrades and lowers rates for everyone, making our systems cleaner and more reliable.
💸Having a more balanced grid demand means more reliable energy, and lower costs for everyone.
 
So when you drive electric you're actually cutting pollution and making our grid stronger and smarter for the future. John and Erma are a great example of what is possible and that EV's are a great option for most of us! 
 
It's not just about saving on gas or cutting emissions but being a part of the shift to building a cleaner, stronger, and more affordable energy future for us all!

#electriccar #EV #fordlightning #chevyequinox #climateaction #energyefficiency #homeefficiency #maineenvironment #maineclimateaction #climatechange #climatechangemaine #climatechangesolutions #climatesolutions #maineclimatesolutions #efficiencymaine"
6,2,1295735538116838,1.0,Sam Fowler,"Compact electric vehicles are used for transportation over short and medium distances.
They vary in dimensions, driving range, and charging options to suit different types of usage."
6,3,3100254730148380,1.0,Smart Auto Assist,A neutral look at compact EVs — and what their rise could mean next.
6,4,1213221630042163,1.0,Arizona PIRG,"EVs can save consumers money, reduce air pollution, & protect public health. Take advantage of funding to purchase an EV."
6,5,1971439486722336,1.0,Environmental Defense Fund,"Defunding disaster prep. Yanking fully operational EV chargers. Turning off existing air pollution monitors. These moves are wasting money, not finding “efficiencies.”"
7,1,1456529635359394,1.0,Earthjustice,"Heat pumps cool our homes better and hold a steady temperature to keep your home cool all summer. Because they run on electricity, heat pumps cool AND heat your home way more efficiently.​

Experts estimate that heat pumps can cut climate pollution from buildings by 40% or more."
7,2,1088717623433241,1.0,West Central Initiative,"🌎 Our geothermal system is saving energy and cutting costs! 

Since installing our geothermal heating and cooling system in 2023, we’ve cut our average monthly energy use by 57%, eliminated natural gas entirely, and lowered energy costs by 26% — all while reducing greenhouse gas emissions.  

This project is helping us lead the way on sustainability in our region, showing how renewable energy can create lasting benefits for both people and the planet. 

Visit wcif.org/blog/environment/geothermal-system/ to learn more about our geothermal project!"
7,3,3068222966717646,1.0,Power For the People of Hawaii ,"The heat beneath our feet is part of the island’s heartbeat  clean, renewable, and constant. While oil pollutes our air and drains our wallets, geothermal power preserves our land and lowers our bills.

This isn’t about fear. It’s about respect.
 Respect for our culture, our ʻāina, and our future.

🔥 Stand for clean, local energy. Share the truth about geothermal."
7,4,657622287353972,1.0,Power For the People of Hawaii ,"Imagine an energy source that works day and night, rain or shine, no waiting for the sun, no relying on the wind.

Geothermal energy delivers constant, reliable power directly from the earth’s heat. Born from the breath of Pele, it’s clean, local, and always on fueling our island without harming the ʻāina.

While other sources pause, geothermal keeps going 24/7, 365 days a year. That’s true energy security for Hawai‘i.

🌋 The future is here, and it’s been under our feet all along."
7,5,1224242889233150,1.0,Instagram User 1759943822,"_KRISTAL HÖLLIN_.

With Weichen Wang @wangweichen0520,
Youssef Denial @youssefindenial, our proposal for Renewable Energy Research Center of Iceland was awarded 3rd Prize among other inspiring submissions for international architecture competition (unbuilt), organized by @designunlimitedonline.

From Jules Verne's <Journey to the center of the Earth> to the whispered legends of Iceland's Huldufólk, the human curiosity to descend into the depths of the Earth and draw upon its elemental power has long shaped our cultural imagination.

Such fascination finds a contemporary expression in a vision for a renewable energy research center: an archaeology of the future, where science, myth, and landscape converge.

Sited on the northwest end of Kársnes habror peninsula, the 16,000-square-meter institution is conceived as a clustered village of mass timber modules, assembled along a Voronoi grid that echoes the beauty of basalt formations. Within, it weaves together geothermal gardens, interior civic spaces, and vibrant waterfront promenades-each a stage for knowledge, encounter, and ecological stewardship. Entirely electric and self-sufficient, the structure draws from the site's own elemental forces -sun, wind, and geothermal heat-becoming both a generator and a testament to a new symbiosis between architecture and the land it's built on.

#archviz #conceptart #mattepainting
#archdaily #virtualphotograph
#architecture #visualart
#arch"
8,1,1778470253049424,1.0,Pennsylvania Resources Council,"Register now for PRC's June 14 #HouseholdChemical collection at @[100067784755659:2048:Fayette County Recycling Convenience Center].

Dispose of auto fluids, household cleaners, paints, #pesticides, pool chemicals and more. $20 to dispose of every 10 gallons/50 pounds of material.

Advance registration required:  https://ow.ly/VHTH50VXXaK"
8,2,1248206970272643,1.0,Pennsylvania Resources Council,"Don't wait -- register now for Saturday's #HouseholdChemical collection at North Park sponsored by Allegheny County Health Department.  And encourage your neighbors to do the same!
 
Safely dispose of common chemicals such as cleaners, #paints, #batteries, motor oil, #pesticides and much more. A $20 fee covers every 10 gal/50 lbs #recycled.

Learn more and register: https://ow.ly/o8mM50VCHXp"
8,3,648530857995206,1.0,North Country Alliance for Balanced Change,"Residents, Property Owner Weigh In After Landfill Application Denied
Casella Avoids Direct Questions As Project’s Fate More Uncertain

By:Robert Blechl

Amid a 6-year fight, opponents of a commercial landfill in Dalton are cautiously optimistic after the company proposing it encountered a big setback and is not revealing specifics regarding its next steps.

On Thursday, after issuing four letters to Casella Waste Systems informing it that its standard solid waste permit application is incomplete, state permitting officials have again said that the company has still not provided the information and the application is now denied.

DES’s rejection comes after Casella has spent years trying to gain support for siting its Granite State Landfill LLC beside Forest Lake State Park, a proposal that has mobilized opposition across the North Country, across the state, and both parties at the New Hampshire statehouse.

Because of the repeated incompleteness, Casella’s permit application became effectively dormant on Feb. 28, the day that Casella submitted its latest application, which the New Hampshire Department of Environmental Services, in its Thursday denial letter, said still doesn’t contain the legal papers, property agreements, and other required documents that it has been requesting.

“The information submitted does not include a site report that demonstrates that the location of the proposed facility complies with all applicable siting requirements and that the site is a suitable location for the proposed facility as required by [state siting rules],” wrote Michael Wimsatt, director of DES’s Waste Management Division.

In addition, the maps, figures, and hydro-geological report initially submitted as part of the site report in October 2023 “were not updated to demonstrate compliance with the re-adopted Part Env-Sw 804, Siting Requirements, of the Rules, which became effective on December 21, 2024,” said Wimsatt.

“The information submitted also does not include copies of the documents that demonstrate that the applicant and their successors and assigns will have a legal right for the use of the properties as proposed in the application as required by [state rules],” he said.

In addition to missing information, Casella has continued to black out other information, despite DES’s February 2024 incompleteness determination letter telling the company that the redacted legal agreements as submitted are preventing DES review.

“Each of the subsequent incompleteness determination letters reiterated that copies of the legal agreements as required by Env-Sw 314.03 needed to be provided,” said Wimsatt. “The legal agreements submitted by the applicant failed to fulfill application requirements because they were heavily redacted and referenced other legal agreements, which were not provided.”

For instance, the access agreement and 2018 option to purchase real estate was heavily redacted and these redactions rendered DES unable to fulfill permit application requirements, said Wimsatt.

Similarly, Casella submitted a memorandum of understanding that was undated and unsigned. A signed version was later submitted, but does not fulfill application requirements because it was also heavily redacted and relies on the terms of the option agreement and 2019 amendments to the agreement, with the amendments referenced in the application, but not provided.

DES issued letters to Casella deeming the application incomplete on Feb. 28, 2024; June 24, 2024; Oct. 22, 2024; and Jan. 27, 2025. The letters also provided notice of the dormancy deadline.

Under state rules, the permit application was denied because Casella did not submit the information necessary to complete the application within the required year of DES’s initial determination of incompleteness.
Casella has 30 days to file an appeal.

Meanwhile, the company had a deadline of March 24 to file permit applications for its wetlands and alteration of terrain permits, both of which were also the subject of multiple letters of incompleteness by DES.
According to a check on Friday afternoon, neither revised application to meet the 2025 deadline had been posted to DES’s landfill permitting page.

“Our Granite State Landfill website is up to date,” said James Martin, spokesman for DES.

Lawmaker, Residents, Property Owner Weigh In

Among those buoyed by DES’s denial was state Sen. David Rochefort, R-Littleton, who said his phone has been buzzing since DES handed down its decision.

“For a rainy, cloudy day, the sun is shining,” he said Thursday. “This is great. This has been a longtime effort. A cast of characters from all walks of life have really worked hard on this. It really feels surreal, actually.”
He said that opposition to the landfill has been a big issue for the North Country.

“As I was campaigning all over the district — a third of the state — it was not a NIMBY issue, despite what some people say,” said Rochefort. “This was an issue of the whole region, and the whole state. People value clean water, they value the character of the place where we live, and a lot of people fought long and hard, before I even came to the fight. It’s very satisfying and very encouraging to see this.”

Adam Finkel, an environmental scientist and Dalton resident, said he was struck by DES’s “sudden change after six years of letters that were so deferential and so permissive.”

“This was like, ‘What don’t you understand about enough is enough?’” he said. “And I feel that they’re finally taking the proper tone that an agency should take with an applicant.”

Finkel said he understands Casella’s dilemma about not wanting to buy property without a permit.

“But they should have realized at the outset that the law doesn’t let them do that,” he said. “They tried to do this catch-22 thing and get the deed and the permit simultaneously and it just doesn’t work like that.”

To deny an application based on easements and ownerships is great, but the flaws of the application went well beyond that because Casella chose a poor site beside a lake and on sand and gravel with fast-moving groundwater beneath, said Finkel.

“You owe it to the department and the people to actually figure out where the pollution’s going to go when it leaks, not if it leaks, and you refused to do that,” he said. “You should have been turned away months into this farce. [DES] should have said, ‘Come back after you’ve looked at the site. Don’t waste our time.’ All of this was avoidable.”

Dalton resident Jon Swan, who founded Save Forest Lake to oppose the landfill, was also cautiously optimistic after DES’s decision.

“We have had to do the work that DES should have been doing all along and we’re doing the work now relative to oversight,” he said.

“We want to commend DES for doing the right thing and denying this unneeded and unwanted project,” said Tom Tower, vice-president of the North Country Alliance for Balanced Change. “Although this news is encouraging, we are still laser focused on supporting some great legislation led by Gov. Ayotte and the New Hampshire House that will help make sure no community has to go through what the North Country has endured over the last four years.”

On Friday afternoon, Casella spokesman Jeff Weld said “We have received the notice from NHDES and we are currently considering our options.”

On Friday, property owner Douglas Ingerson Jr., of Dalton, was asked if he’s hopeful the landfill will go through and if he’ll be able to sell pieces of his property to Casella.

“I could give a f*** less,” said Ingerson, who owns Chick’s Sand and Gravel. “I’ve done well my whole life. I don’t need a landfill. I’m going to work on my drag strip. There’s no zoning in my town. The drag strip goes forward. I’ve already started the drag strip. We already have almost 200 feet down. This year, we’ll probably get almost 600 down.”

He said he could sell to Casella, but doesn’t have to if the landfill doesn’t move forward.

“I’ve got my concrete business, have an industrial park, I’ve got the drag strip, I sell lumber, I do jobs,” said Ingerson. “I’ve done it my whole life. It’s one more thing. No biggie if it don’t come. I don’t care too much about it.”

It’s up to Casella on whether it wants to submit another application, he said.
“I just sit back and watch the idiots argue over the trash they don’t know what to do with,” said Ingerson. “That’s my opinion of the whole thing. Everybody’s got their issue. I’m not upset about it.”"
