Topic,Keywords
82,"tax, job, credit, bill, senator, investment, family, energy, cut, clean"
83,"fuel, fossil, transition, financial, industry, institution, heating, systemic, experiencing, liberty"
84,"health, impact, cause, issue, public, topic, affect, risk, human, girl"
85,"stay, heat, latest, summer, post, cool, devastating, pump, blog, sense"
86,"energy, clean, power, lower, reliable, future, grid, electricity, affordable, renewable"
87,"wind, energy, job, economic, texas, state, new, growth, iowa, opportunity"
88,"update, miami, community, news, culture, feature, louisiana, exclusive, podcasts, discus"
89,"virginia, voice, make, heard, west, island, sure, commercial, seed, embracing"
90,"big, progress, win, corporation, effort, mark, township, season, supervisor, agree"
91,"city, vote, council, housing, candidate, election, affordable, november, district, running"
92,"september, coffee, limited, favorite, spot, activity, time, reform, interview, ban"
93,"de, la, en, el, para, e, un, los, letter, que"
94,"measure, winter, music, amazing, head, tour, loss, tim, sponsored, classroom"
95,"center, data, meeting, safer, run, sharing, march, pledge, award, opening"
96,"plant, resilience, coastal, power, pipeline, restoration, control, repeal, restoring, community"
97,"u, help, day, today, right, give, every, fighting, fight, stand"
98,"party, get, politics, democrat, free, race, shop, arctic, fun, breaking"
99,"water, resource, climatechange, climateaction, idaho, environmental, natural, river, watershed, traditional"
